URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2025/2025_01_01_00_50_09_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.119-129.201.amzn2023.x86_64	Amazon Linux 2023.6.20241212	11.4.1	1	0	0	0	2025-01-01 00:50:09
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Instruction count	Memory usage
bench.php	10	50	0	PHP - master (JIT)	60252b7845	https://github.com/php/php-src/commit/60252b7845	0.07425	0.07900	0.00096	0.07576	-65.14	0.07533	-65.34	0	27.23
micro_bench.php	10	50	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	1.34342	1.37062	0.00606	1.35508	0.00	1.35530	0.00	0	20.38
micro_bench.php	10	50	0	PHP - previous master	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	1.30759	1.33083	0.00568	1.31852	-2.70	1.31736	-2.80	0	20.32
micro_bench.php	10	50	0	PHP - master	60252b7845	https://github.com/php/php-src/commit/60252b7845	1.30792	1.33805	0.00703	1.32134	-2.49	1.32050	-2.57	0	20.32
micro_bench.php	10	50	0	PHP - master (JIT)	60252b7845	https://github.com/php/php-src/commit/60252b7845	0.52896	0.55163	0.00453	0.54003	-60.15	0.53963	-60.18	0	21.66

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2025/2025_01_04_00_49_26_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.119-129.201.amzn2023.x86_64	Amazon Linux 2023.6.20241212	11.4.1	1	0	0	0	2025-01-04 00:49:26
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Instruction count	Memory usage
Laravel 11.1.2 demo app	50	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.43859	0.44425	0.00075	0.43974	0.00	0.43961	0.00	0	41.82
